id_mutation,date_mutation,valeur_fonciere,surface,pieces,adresse,numero,code_postal,n_rows,eur_per_m2
2024-1193437,2024-01-03,221000.0,20.0,1.0,RUE DE MONTMORENCY,38.0,75003.0,1,11050.0
2024-1193325,2024-01-04,130331.0,11.0,1.0,RUE DE TURENNE,45.0,75003.0,1,11848.272727272728
2024-1193456,2024-01-05,1530000.0,76.0,2.0,RUE DE LA CORDERIE,11.0,75003.0,2,20131.57894736842
2024-1193397,2024-01-08,197980.0,19.0,1.0,RUE NOTRE-DAME DE NAZARETH,40.0,75003.0,1,10420.0
2024-1194225,2024-01-10,616030.0,52.0,3.0,RUE SAINT GILLES,11.0,75003.0,2,11846.73076923077
2024-1193781,2024-01-12,175000.0,16.0,1.0,RUE AU MAIRE,23.0,75003.0,1,10937.5
2024-1193892,2024-01-12,390000.0,39.0,2.0,RUE NOTRE-DAME DE NAZARETH,12.0,75003.0,1,10000.0
2024-1193617,2024-01-15,251500.0,20.0,1.0,RUE BEAUBOURG,103.0,75003.0,1,12575.0
2024-1193641,2024-01-15,480000.0,35.0,1.0,BD BEAUMARCHAIS,113.0,75003.0,1,13714.285714285714
2024-1193579,2024-01-16,316800.0,32.0,2.0,RUE DES GRAVILLIERS,70.0,75003.0,1,9900.0
2024-1193636,2024-01-17,1070000.0,103.0,4.0,RUE DE TURENNE,92.0,75003.0,1,10388.349514563106
2024-1194034,2024-01-17,820000.0,63.0,4.0,RUE DE TURENNE,117.0,75003.0,1,13015.873015873016
2024-1193842,2024-01-19,183000.0,32.0,1.0,BD BEAUMARCHAIS,83.0,75003.0,1,5718.75
2024-1194453,2024-01-23,150000.0,16.0,1.0,RUE DES TOURNELLES,45.0,75003.0,1,9375.0
2024-1194646,2024-01-24,555000.0,67.0,2.0,RUE MESLAY,31.0,75003.0,1,8283.58208955224
2024-1194007,2024-01-25,300000.0,35.0,1.0,RUE CHARLOT,20.0,75003.0,1,8571.42857142857
2024-1194315,2024-01-26,443255.0,18.0,2.0,RUE DES GRAVILLIERS,43.0,75003.0,1,24625.277777777777
2024-1193894,2024-01-26,250000.0,22.0,1.0,RUE NOTRE-DAME DE NAZARETH,40.0,75003.0,1,11363.636363636364
2024-1194481,2024-01-29,543689.0,40.0,2.0,RUE VIEILLE DU TEMPLE,75.0,75003.0,1,13592.225
2024-1193769,2024-01-29,257562.0,23.0,1.0,RUE NOTRE-DAME DE NAZARETH,40.0,75003.0,1,11198.347826086956
2024-1194013,2024-01-30,505000.0,43.0,2.0,RUE DES GRAVILLIERS,24.0,75003.0,1,11744.186046511628
2024-1194751,2024-01-30,172000.0,15.0,1.0,RUE DE TURENNE,48.0,75003.0,1,11466.666666666666
2024-1194360,2024-01-31,810000.0,73.0,3.0,RUE MESLAY,13.0,75003.0,1,11095.890410958904
2024-1194462,2024-02-02,224200.0,20.0,1.0,RUE RAMBUTEAU,24.0,75003.0,1,11210.0
2024-1194489,2024-02-06,168000.0,16.0,1.0,RUE DE LA CORDERIE,18.0,75003.0,1,10500.0
2024-1194727,2024-02-07,484313.0,50.0,2.0,RUE DE BEAUCE,18.0,75003.0,1,9686.26
2024-1194849,2024-02-14,1171000.0,61.0,3.0,RUE DES ARCHIVES,69.0,75003.0,1,19196.72131147541
2024-1194955,2024-02-16,449500.0,40.0,2.0,RUE DES GRAVILLIERS,35.0,75003.0,1,11237.5
2024-1195027,2024-02-22,317000.0,29.0,2.0,RUE VIEILLE DU TEMPLE,83.0,75003.0,1,10931.034482758621
